bin_days,lag,n_pairs,n_cameras,correlation,p_value,mean_days_between,median_days_between
7,1,106,52,-0.15322193750705057,0.11686095574537567,7,7
7,2,111,58,-0.16502155422751338,0.08348455497714151,14,14
7,3,114,51,-0.14363135595313214,0.12736413780777264,21,21
7,4,117,50,-0.10240670614921218,0.271900540212785,28,28
7,5,48,32,-0.21005753524323553,0.1518568422404432,35,35
14,1,153,58,-0.13354005413640915,0.09983948101798888,14,14
14,2,136,59,-0.22641111535949876,0.008036687736384683,28,28
14,3,76,58,-0.08979112556057538,0.44048903576933507,42,42
14,4,18,18,0.2656582471750393,0.2866620870483873,56,56
